ID,Symbol,Name,Current_Price_USD,Market_Cap_USD,Total_Volume_USD,High_24h_USD,Low_24h_USD,Price_Change_24h,Last_Updated
mountain-protocol-usdm,usdm,Mountain Protocol USD,0.999429,47973113,747286.0,1.001,0.998387,-0.03547,2025-03-01T14:21:32.895Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,1.052,43298148,31574.0,,,,2025-02-26T17:19:08.772Z
reservoir-rusd,rusd,Reservoir rUSD,1.001,38924312,11352.88,1.001,1.0,-0.00987,2025-03-01T14:21:36.233Z
falcon-finance,usdf,Falcon USD,0.999975,37611696,44443.0,1.008,0.993065,0.30346,2025-03-01T14:21:42.718Z
helio-protocol-hay,lisusd,Lista USD,0.996075,37451470,708551.0,0.999462,0.99243,-0.00875,2025-03-01T14:21:31.239Z
web-3-dollar,usd3,Web 3 Dollar,1.043,35796057,48738.0,1.044,1.042,-0.02716,2025-03-01T14:21:43.376Z
celo-dollar,cusd,Celo Dollar,1.001,35596141,5681654.0,1.006,0.995436,0.57917,2025-03-01T14:21:40.163Z
xtusd,xtusd,XT Stablecoin XTUSD,0.998378,32746816,7190748.0,1.009,0.990033,-0.00537,2025-03-01T14:21:31.158Z
noon-usn,usn,Noon USN,1.001,31452052,58964.0,1.001,0.999654,0.02592,2025-03-01T14:21:33.287Z
liquity-bold,bold,Liquity BOLD,0.99609,28853365,141912.0,0.996903,0.995832,-0.02205,2025-03-01T14:21:32.465Z
susd-optimism,susd,sUSD (Optimism),0.975282,27958710,1111873.0,0.983215,0.970674,-0.09852,2025-03-01T14:21:41.387Z
mimatic,mimatic,MAI,0.999007,27536621,28661.0,0.999353,0.997108,0.16047,2025-03-01T14:21:41.801Z
tether-eurt,eurt,Euro Tether,1.036,26497599,1398059.0,1.041,1.028,0.24488,2025-03-01T14:21:42.022Z
f-x-protocol-fxusd,fxusd,f(x) Protocol fxUSD,0.999246,24883553,8937105.0,1.002,0.998391,-0.08453,2025-03-01T14:21:43.562Z
